feature,importance_mean,importance_std,cv
OverTime,648.6779898104879,60.34782933494293,0.0930320286534982
MonthlyIncome,626.7405402250278,104.09582501538927,0.16609077973161626
Age,413.72078140396235,62.756344034366215,0.15168767645996034
DailyRate,404.61778901937555,74.0018686505523,0.1828932653453075
TotalWorkingYears,332.4738568197708,95.63647713055786,0.2876511195356963
DistanceFromHome,329.3504878926789,46.57075695766626,0.14140181560271942
MonthlyRate,323.4045685969138,47.728543295362016,0.1475815369660102
HourlyRate,310.1134880281364,43.2146414699622,0.13935105417292062
StockOptionLevel,309.6480142387872,61.841515732172134,0.19971552501054513
NumCompaniesWorked,286.0333425713082,50.85746276762118,0.17780256773715952
JobSatisfaction,226.83640598333488,43.49319490512979,0.19173815912215225
YearsAtCompany,222.6324252682568,62.449487820759245,0.2805049073400332
RelationshipSatisfaction,211.53613389221331,49.68021029221488,0.2348544874018028
PercentSalaryHike,208.47259877039662,43.795124943330414,0.21007616925025535
EnvironmentSatisfaction,198.24445964644352,37.14683186210997,0.18737891554880778
YearsWithCurrManager,197.97428609505295,50.66622722703681,0.2559232727967033
BusinessTravel,187.8594103653372,34.204807041420324,0.1820766230177182
MaritalStatus,161.00794790685177,50.39891066909171,0.3130212596601075
YearsSinceLastPromotion,152.32754776204627,34.18960299617661,0.2244479314377517
JobRole,148.23113956203062,59.28696423908635,0.3999629525500369
WorkLifeBalance,135.07085496050615,34.152070371248534,0.25284559264272355
TrainingTimesLastYear,134.97703315243126,32.88587338899116,0.2436405114331764
JobInvolvement,115.53986738572517,29.981872036948957,0.2594937376624788
Department,114.35064309599498,44.07384235274659,0.38542714898199143
YearsInCurrentRole,113.0050673263458,38.039223320200385,0.33661519983300775
JobLevel,66.46555488974943,33.60344760088014,0.5055768759716259
Education,65.49343798292587,21.32312846518258,0.325576563422148
Gender,39.360403724263115,15.140027041182993,0.3846512131137048
EducationField,20.439735184113186,13.674273615389877,0.6690044412130264
